subj_idx,date,trialnum,stim,response,rt
172,2017-11-27,39,2,1,29.41
172,2017-11-27,42,1,1,6.72
172,2017-11-27,44,1,0,123.16
172,2017-11-27,46,1,0,4.14
172,2017-11-27,49,1,1,68.13
172,2017-11-27,54,1,1,9.32
172,2017-11-28,1,1,0,5.86
172,2017-11-28,2,1,0,7.31
172,2017-11-28,3,2,1,46.04
172,2017-11-28,6,1,0,61.25
172,2017-11-28,7,1,1,67.06
172,2017-11-28,8,2,1,4.06
172,2017-11-28,10,1,1,22.21
172,2017-11-28,11,2,1,2.4
172,2017-11-28,12,1,1,1.77
172,2017-11-28,13,1,1,8.77
172,2017-11-28,14,2,1,3.14
172,2017-11-28,15,2,1,3.46
172,2017-11-28,17,2,1,27.4
172,2017-11-28,18,1,0,177.94
172,2017-11-28,19,1,1,29.46
172,2017-11-28,20,2,1,9.3
172,2017-11-28,21,2,1,5.6
172,2017-11-28,22,2,1,2.23
172,2017-11-28,23,2,1,4.15
172,2017-11-28,25,1,0,111.01
172,2017-11-28,27,2,1,64.61
172,2017-11-28,28,1,0,38.18
172,2017-11-28,29,2,1,23.65
172,2017-11-28,31,2,1,30.42
172,2017-11-28,32,2,1,3.98
172,2017-11-28,33,2,1,2.73
172,2017-11-28,34,2,1,9.78
172,2017-11-28,36,2,1,30.65
172,2017-11-28,40,2,1,64.34
172,2017-11-28,41,2,1,8.13
172,2017-11-28,43,1,0,248.96
172,2017-11-28,44,1,0,1.08
172,2017-11-28,48,1,0,0.43
172,2017-11-29,1,2,1,0.42
172,2017-11-29,2,2,1,8.41
172,2017-11-29,4,2,1,29.55
172,2017-11-29,5,2,1,8.29
172,2017-11-29,6,2,1,4.93
172,2017-11-29,7,2,1,2.25
172,2017-11-29,11,2,1,67.82
172,2017-11-29,12,2,1,1.62
172,2017-11-29,13,2,1,3.03
172,2017-11-29,14,1,0,227.24
172,2017-11-29,16,2,1,46.81
172,2017-11-29,17,2,1,2.77
172,2017-11-29,18,2,1,3.13
172,2017-11-29,19,2,1,1.35
172,2017-11-29,20,2,1,5.49
172,2017-11-29,21,2,1,2.8
172,2017-11-29,22,2,1,1.91
172,2017-11-29,24,2,1,23.66
172,2017-11-29,25,1,0,7.63
172,2017-11-29,26,1,1,2.8
172,2017-11-29,27,2,1,3.84
172,2017-11-29,28,2,1,5.81
172,2017-11-29,29,2,1,9.35
172,2017-11-29,30,2,1,7.67
172,2017-11-29,31,1,0,90.94
172,2017-11-29,32,1,1,23.8
172,2017-11-29,34,2,1,25.36
172,2017-11-29,35,1,0,56.42
172,2017-11-29,36,1,1,28.25
172,2017-11-29,37,1,1,5.52
172,2017-11-29,38,2,1,4.17
172,2017-11-29,41,1,0,29
172,2017-11-29,44,1,0,25.9
175,2017-11-11,1,1,0,8.6
175,2017-11-11,2,2,1,42.93
175,2017-11-11,3,2,1,2.41
175,2017-11-11,4,1,0,34.42
175,2017-11-11,5,1,1,7.12
